name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;2836;25;9914;335;-70;-86;1,982;15.5;4.83;-0.21;223.4;-0.21;314;-55;2017-09-08;36;181;79;20820;1351;1180;1028;19201;2017-09-08;84;67043;499;2017-09-12;;41308;7701;2017-09-12
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1327;66;537;68392;-4428;-4603;10.4;4;4.34;5;1.05;5;58096;-5499;2017-09-08;16;59001;59;3898;342;319;275;2683;2017-09-08;0;0;0;2017-09-12;;12186;347;2017-09-12
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;19;5447264;-4193682;-3163105;0.05;100;2;70;0;70;6148602;-6156016;2017-09-08;11;1662394;48;93;27;29;29;53;2017-09-08;;;;;;1768;1;2017-09-12
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;3508;16;287;155595;-20000;-20414;5.1;20;1.7;-3.45;0.2;-3.45;220849;-24447;2017-09-08;15;48469;60;491;110;105;93;397;2017-09-08;247;14609;88;2017-09-12;;8642;1257;2017-09-12
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1281;68;211;90839;-2642;-3640;9.64;2;1.8;-3.17;0.41;-3.17;125405;-131;2017-09-08;56;64098;59;303808;1235;1176;1037;268463;2017-09-08;99;4378;20;2017-09-12;;9015;769;2017-09-12
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2175;37;1483;1151;-57;-103;589;2.6;5.66;0.5;77.96;0.5;881;-54;2017-09-08;87;3306;69;703847;28926;19991;13297;314947;2017-09-08;0;12060;162;2017-09-12;;65009;613;2017-09-12
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;768;87;52;440874;110647;137540;0.83;-29.33;12;-19;0.23;-19;200185;69939;2017-09-08;11;125329;57;83;17;17;17;83;2017-09-08;;;;;;286;2;2017-09-12
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;2370;33;67;171497;27155;30847;3.4;-20.53;4.4;-2.02;0.35;-2.02;144136;24785;2017-09-08;8;1684262;48;85;28;27;27;85;2017-09-08;3;1645;12;2017-09-12;;3940;4576;2017-09-12
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1800;48;416;8484;383;579;94.6;-6.674;5.83;4;12.9;4;5972;96;2017-09-08;42;3656;68;6892;411;278;242;3178;2017-09-08;0;7921;52;2017-09-12;;5155;866;2017-09-12
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;8;8739264;2569859;461702;0.03;-16.67;1;-72.222;0;-72.222;11204297;6185556;2017-09-08;31;2533175;47;2026;115;92;90;838;2017-09-08;0;0;0;2017-09-12;;;;
CoManage;26107;5;5;2017-11-28;;51;66;40;59;50;657;89;15;438638;-362842;-423201;0.86;95;9.9;40;0.2;40;221776;-281350;2017-09-08;11;19721119;38;9;5;5;5;9;2017-09-08;;;;;;132;13;2017-09-12
Evoliz;26109;;;;;58;103;56;25;67;818;85;138;157308;23115;18142;3.5;-13.25;6.2;-27.54;0.5;-27.54;107197;32651;2017-09-08;11;1434632;49;73;27;25;25;73;2017-09-08;0;0;0;2017-09-12;;824;2;2017-09-12
"Exact Online";26110;2190;2190;2017-11-28;241309773.6;100;126;76;108;112;1439;61;276;87579;9582;10265;9.3;-16.65;2.3;6;0.5;6;106742;8975;2017-09-08;23;20750;63;467;72;75;74;334;2017-09-08;1011;28605;147;2017-09-12;;3379;863;2017-09-12
FattureInCloud;26111;5;5;2017-11-28;;60;13;80;59;60;870;84;58;22963;-4795;-6609;28.9;21;10.8;2;7.3;2;10488;-2317;2017-09-08;22;449178;53;139;24;24;24;70;2017-09-08;;;;;;;;
Freshdesk;26115;990;990;2017-11-28;;113;134;105;97;127;2756;26;5454;1827;-541;-689;393;26;5.73;-6.829;52.58;-6.829;1344;-275;2017-09-08;81;918;73;974507;5943;2972;2353;248348;2017-09-08;0;70122;236;2017-09-12;;8970;1331;2017-09-12
Harvest;26116;59;59;2017-11-28;;98;136;94;81;100;952;80;774;24358;-739;-531;43.4;1;1.85;0;1.88;0;35547;-1028;2017-09-08;52;17268;63;5425;658;641;577;2778;2017-09-08;124;42213;29;2017-09-12;;25280;4562;2017-09-12
Highrise;26117;5;5;2017-11-28;;76;78;76;59;92;1703;52;618;19628;-1949;-2663;34.9;8.7;9.9;2;8.06;2;9575;-1016;2017-09-08;82;22846;62;36143;3794;3311;2690;17810;2017-09-08;;;;;;1268;190;2017-09-12
Hubspot;26118;2271;2271;2017-11-28;232449040.95;125;158;119;107;134;1703;52;33989;559;-26;-56;1,095;3.3;7.29;3.1;186.5;3.1;365;-44;2017-09-08;80;327;77;39654;3047;2393;1907;19967;2017-09-08;6812;1500315;9294;2017-09-12;;75629;26128;2017-09-12
"Ines CRM";26119;45;45;2017-11-28;;62;108;27;80;67;669;91;44;433664;79626;42414;1.2;-13.56;3.3;-39.85;0.09;-39.85;423168;164414;2017-09-08;21;2113051;48;1587;70;72;70;1021;2017-09-08;1;125;3;2017-09-12;;5550;521;2017-09-12
Insightly;26120;150;150;2017-11-28;;94;129;86;86;94;1361;64;378;36208;2456;2843;27.1;-11.11;2.04;6;1.29;6;48719;1754;2017-09-08;29;26609;62;2788;486;460;411;2385;2017-09-08;54;35041;93;2017-09-12;;8299;1190;2017-09-12
Julitec;26121;;;;;45;91;12;25;83;811;82;12;1572483;-1018902;-911307;0.24;80;2.2;30;0.01;30;1749900;-1341615;2017-09-08;11;1385540;49;27;5;5;5;27;2017-09-08;2;229;0;2017-09-12;;136;6;2017-09-12
Moneybird;26123;15;15;2017-11-28;;63;83;47;65;73;587;93;79;195258;70598;70914;3;-39.64;3.8;-23.8;0.27;-23.8;176644;80131;2017-09-08;12;282969;54;183;53;53;51;172;2017-09-08;;;;;;5329;573;2017-09-12
Odoo;26124;356;356;2017-11-28;;104;131;88;96;118;2510;30;2256;9975;-457;-279;79.1;1;6.09;8.6;11.2;8.6;6834;-806;2017-09-08;28;5382;67;1295182;399;356;337;1275600;2017-09-08;0;34700;276;2017-09-12;;3619;550;2017-09-12
"Oro CRM";26125;360;360;2017-11-28;;75;112;44;85;89;3017;22;138;197063;-6773;-12425;2.9;4;4.1;-7.623;0.28;-7.623;170632;3331;2017-09-08;12;209812;55;280;56;62;61;234;2017-09-08;0;741;9;2017-09-12;;1790;454;2017-09-12
Pipedrive;26126;280;280;2017-11-28;;99;131;98;86;95;1392;63;377;3556;-355;-518;183;7.9;12;-0.742;51.36;-0.742;1381;-110;2017-09-08;38;26624;62;20529;438;442;407;12064;2017-09-08;3;41640;1100;2017-09-12;;8574;1334;2017-09-12
Podio;26127;9600;9600;2017-11-28;2932358630.25;98;87;95;104;104;1050;77;575;5159;340;348;135;-5.711;10.3;-2.84;32.27;-2.84;2305;186;2017-09-08;83;4271;68;779350;11636;9418;6857;548618;2017-09-08;;;;;;4034;992;2017-09-12
Prosperworks;26128;150;150;2017-11-28;;82;112;72;77;84;3084;21;115;32946;-2162;-2596;20.7;4;8.05;4;3.9;4;18684;-1624;2017-09-08;13;124255;57;202;63;65;64;168;2017-09-08;136;1994;13;2017-09-12;;1165;516;2017-09-12
salesforce;26131;25000;25000;2017-11-28;7199063474.4;139;153;141;128;140;1420;62;10150;125;-11;-28;3,913;8.56;19.52;-4.73;1,784;-4.73;47;0;2017-09-08;42;643;74;158683;12181;10547;5303;152296;2017-09-08;5167;662719;2819;2017-09-12;;50981;7484;2017-09-12
"SAP SE";26132;84180;84180;2017-11-28;20604527580;130;149;106;137;147;3018;22;15378;1838;44;40;426;-3.52;4.08;-2.86;40.59;-2.86;1773;93;2017-09-08;27;954;73;166307;2184;1889;1665;157865;2017-09-08;15558;870097;1639;2017-09-12;;18240;1410;2017-09-12
Sellf;26133;96;96;2017-11-28;;70;116;47;75;69;2170;37;71;519953;23062;-7668;1.2;-0.47;1.6;-19.19;0.04;-19.19;724892;100108;2017-09-08;8;2074023;48;1646;213;226;206;1570;2017-09-08;0;6473;3;2017-09-12;;1878;1080;2017-09-12
Sellsy;26134;28;28;2017-11-28;;77;110;62;72;83;1713;52;50;97946;-65622;-63626;8.8;86;1.8;-2.66;0.38;-2.66;134567;-84611;2017-09-08;28;205488;55;437;97;104;101;419;2017-09-08;0;568;2;2017-09-12;;1799;3738;2017-09-12
Simplicate;26135;21;21;2017-11-28;;64;103;44;71;62;1866;46;30;723926;-72538;-34673;0.5;3;6.6;40;0.08;40;467309;-140404;2017-09-08;16;2420139;47;61;12;11;11;31;2017-09-08;15;313;17;2017-09-12;;348;291;2017-09-12
SugarCRM;26136;450;450;2017-11-28;;98;129;77;98;111;1449;61;2203;47358;4688;2717;16.2;-7.894;4.12;-20.46;1.56;-20.46;41604;9120;2017-09-08;21;9706;65;3782;537;463;422;3585;2017-09-08;373;7744;70;2017-09-12;;14246;1096;2017-09-12
SumaCRM;26137;5;5;2017-11-28;;63;77;59;59;67;1328;66;77;115320;16763;21606;5.6;-21.86;4.2;10;0.55;10;99713;9363;2017-09-08;9;724272;51;131;52;53;50;117;2017-09-08;;;;;;701;5294;2017-09-12
Teamwork;26138;110;110;2017-11-28;;99;130;98;84;100;1481;60;276;4190;-527;-755;186;13;5.92;-3.11;25.74;-3.11;2939;-334;2017-09-08;44;19018;63;5237;413;340;317;1963;2017-09-08;0;23741;77;2017-09-12;;7267;2556;2017-09-12
Timechimp;26139;5;5;2017-11-28;;56;87;34;59;66;;;15;850832;-3243;13433;0.53;-4.41;2.5;9;0.03;9;921869;-45050;2017-09-08;11;6127632;44;4;4;4;3;4;2017-09-08;0;141;7;2017-09-12;;76;10;2017-09-12
Visma;26140;4940;4940;2017-11-28;763941160.5;91;75;73;112;105;1004;78;540;42025;-1227;-2061;20;3;3.18;-7.018;1.48;-7.018;43407;783;2017-09-08;14;9645;65;1512;62;63;62;1470;2017-09-08;;;;;;495;10;2017-09-12
Vtiger;26141;104;104;2017-11-28;;87;115;69;81;102;1958;43;993;40827;904;890;21.5;-4.7;2.76;0;1.39;0;45929;1034;2017-09-08;20;17428;63;9968;461;417;384;8585;2017-09-08;13;4108;18;2017-09-12;;882;46;2017-09-12
Wefact;26142;5;5;2017-11-28;;62;101;26;59;91;537;93;34;1860120;82111;-146725;0.21;8;1.7;-40.99;0.01;-40.99;2332086;581327;2017-09-08;11;135235;57;42;17;14;14;42;2017-09-08;1;209;5;2017-09-12;;442;6;2017-09-12
WhiteWorks;26143;6700;6700;2017-01-12;;64;99;13;101;78;1722;42;9;1163214;-81978;-86310;0.47;10;1.1;-5;0.01;-5;1779128;-77806;2017-09-08;10;2345384;47;20;5;5;5;19;2017-09-08;8;662;10;2017-09-12;;300;3;2017-09-12
Wrike;26144;430;430;2017-11-28;;98;128;95;87;96;4308;10;718;4566;-356;-397;172;5.4;5.79;6.8;23.27;6.8;3278;-479;2017-09-08;19;18080;63;3488;448;420;389;3341;2017-09-08;0;14474;77;2017-09-12;;11482;1425;2017-09-12
Zoho;26145;5080;5080;2017-11-28;;123;138;120;113;128;1835;47;7291;468;-75;-96;1,306;12;7.04;0;214.7;0;322;-57;2017-09-08;80;1436;72;209251;4146;2505;2096;152839;2017-09-08;48;130756;3365;2017-09-12;;11440;4344;2017-09-12
Teamleader;26146;170;170;2017-11-28;;81;112;70;90;71;1116;74;61;54063;-9421;-10771;13.6;17;4.48;3;1.42;3;44951;-8418;2017-09-08;17;139762;56;59;23;27;27;59;2017-09-08;0;25012;24;2017-09-12;;233;57;2017-09-12
ABCrm;26148;;;;;32;64;0;25;64;;;1;;;;;;;;;;;;2017-09-08;8;29593512;36;13;2;2;2;13;2017-09-08;;;;;;106;8;2017-09-12
ActiveColab;26149;5;5;2017-01-19;;85;128;73;67;94;1896;45;400;35662;-1618;-2344;22.5;4;4.02;-4.06;2.11;-4.06;32201;-409;2017-09-08;81;35198;61;51600;2767;2486;2085;40559;2017-09-08;0;6941;111;2017-09-12;;8444;4473;2017-09-12
"Agile CRM";26153;137;137;2017-11-28;;89;122;77;77;98;3135;20;108;24982;-5272;-6864;27;21;9.65;4;6.09;4;12389;-3048;2017-09-08;15;18362;63;553;100;109;102;473;2017-09-08;0;4630;30;2017-09-12;;7682;914;2017-09-12
Asana;26154;360;360;2017-11-28;;112;145;118;89;106;5854;4;1734;568;-15;-30;1,104;1.2;6.56;3.6;169.2;3.6;398;-39;2017-09-08;86;5236;67;112225;14510;11567;8059;66690;2017-09-08;493;214235;1830;2017-09-12;;27699;14957;2017-09-12
Batchbook;26155;8;8;2017-11-28;;73;123;47;62;90;3170;20;211;225743;5064;4017;2.3;-4.7;5.2;-2.08;0.28;-2.08;170601;7095;2017-09-08;16;55182;59;8868;1410;1215;1032;6943;2017-09-08;0;5154;3;2017-09-12;;6080;370;2017-09-12
BedeskExpress;26156;;;;;43;92;12;25;77;;;117;3490347;-287623;175291;0.09;-8.571;2;70;0;70;3952425;-1270807;2017-09-08;12;3643303;46;6;5;5;5;6;2017-09-08;0;0;0;2017-09-12;;177;0;2017-09-12
Bexio;26158;40;40;2017-11-28;;76;114;62;70;82;1372;64;58;71308;-1675;-3813;8;2;11;-6.772;1.98;-6.772;33994;972;2017-09-08;23;225389;55;153;34;34;34;79;2017-09-08;0;2534;74;2017-09-12;;1274;1019;2017-09-12
Billings;26159;32;32;2017-11-28;;74;118;41;69;101;1705;52;421;316104;26242;30268;1.8;-14.11;2.6;5;0.11;5;353766;21276;2017-09-08;16;74089;58;1988;409;404;373;1831;2017-09-08;0;1016;5;2017-09-12;;9773;1574;2017-09-12
"BPM Online";26161;150;150;2017-11-28;;81;119;63;77;88;2127;39;166;86049;-20646;-27929;8.01;32;4.17;-13.66;0.78;-13.66;74761;-9852;2017-09-08;16;169492;56;1681;99;99;93;1450;2017-09-08;6;11254;2437;2017-09-12;;1361;231;2017-09-12
