name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;2882;24;9445;367;-30;-40;1,849;9.1;4.91;-4.29;212.9;-4.29;330;-21;2017-08-05;35;182;79;13713;1342;1193;1031;12254;2017-08-05;84;65996;374;2017-08-08;;41308;7701;2017-08-08
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1426;61;526;71066;396;-2547;10.3;2;4.1;-13.01;0.99;-13.01;62478;5454;2017-08-05;16;60109;59;3922;352;327;279;2648;2017-08-05;0;0;0;2017-08-08;;12186;347;2017-08-08
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;20;5995771;-3581480;-2571039;0.04;80;2;60;0;60;6873709;-5358136;2017-08-05;13;1808275;48;109;28;30;30;52;2017-08-05;;;;;;1768;1;2017-08-08
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;3496;16;273;162110;-30224;-25901;4.9;19;1.8;2;0.2;2;224289;-45695;2017-08-05;12;50257;60;469;102;100;87;403;2017-08-05;241;14547;176;2017-08-08;;8642;1257;2017-08-08
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1191;71;208;91664;5804;5236;9.57;-8.587;1.9;0;0.43;0;123212;7092;2017-08-05;56;60314;59;290652;1187;1137;1006;255430;2017-08-05;99;4373;24;2017-08-08;;9015;769;2017-08-08
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2181;37;1448;1150;27;13;595;-0.38;5.57;-6.856;77.81;-6.856;909;74;2017-08-05;87;3236;69;682891;28137;20102;13373;302625;2017-08-05;0;11872;157;2017-08-08;;65009;613;2017-08-08
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;1147;73;53;395616;9534;-22038;0.97;2;12;-32.65;0.26;-32.65;181685;44087;2017-08-05;19;110453;57;76;16;14;14;76;2017-08-05;;;;;;286;2;2017-08-08
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;2474;31;67;152037;20371;16807;4;-13.26;4.5;-17.88;0.42;-17.88;125387;28515;2017-08-05;8;1658160;48;74;30;28;28;74;2017-08-05;3;1648;13;2017-08-08;;3940;4576;2017-08-08
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1845;46;387;8309;756;860;98;-7.233;5.79;-4.3;13.3;-4.3;5889;700;2017-08-05;42;4064;68;6589;387;266;231;3007;2017-08-05;0;0;0;2017-08-08;;5155;866;2017-08-08
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;8;9405501;6106352;4477143;0.02;-70;1;-72.222;0;-72.222;11978194;9177172;2017-08-05;32;2853640;47;1094;108;91;89;666;2017-08-05;0;0;0;2017-08-08;;;;
CoManage;26107;5;5;2017-11-28;;51;66;40;59;50;657;89;13;458084;-489462;-578687;0.86;130;8.4;30;0.17;30;256833;-372430;2017-08-05;11;19492248;39;7;5;5;5;7;2017-08-05;;;;;;132;13;2017-08-08
Evoliz;26109;;;;;58;103;56;25;67;687;90;129;148749;23896;20617;3.6;-14.86;7.2;-26.58;0.61;-26.58;92784;29551;2017-08-05;11;1417509;49;72;29;28;28;72;2017-08-05;0;0;0;2017-08-08;;824;2;2017-08-08
"Exact Online";26110;2190;2190;2017-11-28;241309773.6;100;126;76;108;112;1219;70;264;81313;3478;3172;10.5;-6.12;2.2;-0.45;0.55;-0.45;101776;3991;2017-08-05;29;21210;63;615;74;76;75;320;2017-08-05;1012;28283;226;2017-08-08;;3379;863;2017-08-08
FattureInCloud;26111;5;5;2017-11-28;;60;13;80;59;60;904;82;57;22783;-4634;-6286;29.4;22;11;1;7.62;1;10216;-2177;2017-08-05;22;375625;53;138;25;24;24;68;2017-08-05;;;;;;;;
Freshdesk;26115;990;990;2017-11-28;;113;134;105;97;127;2813;25;5342;1961;-472;-664;372;26;5.87;-11.6;51.28;-11.6;1399;-162;2017-08-05;81;909;73;955901;5877;2933;2326;244297;2017-08-05;0;69762;303;2017-08-08;;8970;1331;2017-08-08
Harvest;26116;59;59;2017-11-28;;98;136;94;81;100;1145;73;738;23635;3453;3829;45.7;-17.82;1.84;8.9;1.97;8.9;34766;3041;2017-08-05;51;18419;63;5366;644;623;560;2740;2017-08-05;124;42255;24;2017-08-08;;25280;4562;2017-08-08
Highrise;26117;5;5;2017-11-28;;76;78;76;59;92;1549;57;597;20198;-2582;-3815;34.5;15;9.66;-3.01;7.82;-3.01;9968;-1035;2017-08-05;82;21874;63;50491;3734;3321;2696;24970;2017-08-05;;;;;;1268;190;2017-08-08
Hubspot;26118;2271;2271;2017-11-28;232449040.95;125;158;119;107;134;1783;49;33488;560;-18;-37;1,108;3.1;7.06;-5.867;183.7;-5.867;385;4;2017-08-05;80;328;76;37782;2952;2395;1899;19097;2017-08-05;6698;1482711;6214;2017-08-08;;75629;26128;2017-08-08
"Ines CRM";26119;45;45;2017-11-28;;62;108;27;80;67;669;91;43;356464;-7391;-37721;1.5;9;3.7;-28.21;0.13;-28.21;324914;49048;2017-08-05;22;2041133;48;1581;75;76;73;1011;2017-08-05;1;125;6;2017-08-08;;5550;521;2017-08-08
Insightly;26120;150;150;2017-11-28;;94;129;86;86;94;1613;54;368;36792;7831;7503;27.3;-23.92;2.02;3;1.29;3;49657;8930;2017-08-05;28;28233;62;2703;490;467;415;2313;2017-08-05;54;34955;81;2017-08-08;;8299;1190;2017-08-08
