name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;3007;22;9914;329;-49;-63;2,004;12.4;4.76;-2.66;223.5;-2.66;307;-30;2017-10-27;37;178;79;27231;1344;1210;1062;25762;2017-10-27;84;71494;1588;2017-10-31;;41308;7701;2017-10-31
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1478;60;537;66708;-5558;-5702;10.6;6;4.06;2;1.01;2;59017;-5524;2017-10-27;17;59700;59;2924;346;328;283;1720;2017-10-27;0;18168;25;2017-10-31;;12186;347;2017-10-31
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;19;4162726;-1797799;-1731216;0.07;60;2;-0.617;0;-0.617;4911434;-1916665;2017-10-27;9;1671306;48;1165;26;27;27;1142;2017-10-27;;;;;;1768;1;2017-10-31
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;2778;25;287;157369;-8635;-11760;5;8;1.6;-9.091;0.19;-9.091;228551;-923;2017-10-27;15;49732;60;396;102;102;93;331;2017-10-27;256;14700;191;2017-10-31;;8642;1257;2017-10-31
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1517;58;211;99057;6126;4227;8.5;-8.348;1.8;-5.263;0.36;-5.263;137012;12092;2017-10-27;57;68948;59;275011;1264;1197;1057;239861;2017-10-27;103;4413;28;2017-10-31;;9015;769;2017-10-31
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2231;36;1483;1207;51;26;562;-3.11;5.55;-0.36;73.16;-0.36;922;4;2017-10-27;87;3353;69;673136;28624;19851;13197;304455;2017-10-27;0;12259;64;2017-10-31;;65009;613;2017-10-31
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;741;88;52;377332;-18982;-25959;1;4;11;-2.05;0.26;-2.05;178699;-5966;2017-10-27;12;123189;57;81;14;13;13;80;2017-10-27;;;;;;286;2;2017-10-31
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;1921;44;67;203172;53835;52761;2.8;-29.74;3.5;-18.01;0.24;-18.01;190973;65071;2017-10-27;22;1394565;49;82;25;25;25;82;2017-10-27;3;1647;8;2017-10-31;;3940;4576;2017-10-31
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1864;46;416;8688;379;452;90.5;-6.581;5.73;-0.521;12.1;-0.521;6287;395;2017-10-27;41;3904;68;6657;375;261;221;3060;2017-10-27;0;8089;59;2017-10-31;;5155;866;2017-10-31
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;8;8066303;-1280649;20589;0.02;0;2;90;0;90;8448931;-3468689;2017-10-27;31;2131103;48;1161;113;91;89;707;2017-10-27;3;888;53;2017-10-31;;;;
CoManage;26107;5;5;2017-11-28;;51;66;40;59;50;657;89;15;466598;-5767;53650;0.73;-11.97;14;70;0.24;70;190781;-82654;2017-10-27;10;20306320;38;10;4;4;4;10;2017-10-27;;;;;;132;13;2017-10-31
Evoliz;26109;;;;;58;103;56;25;67;1221;69;138;159377;11245;1997;3.4;-3.46;5.4;-27.73;0.44;-27.73;117417;27530;2017-10-27;10;1722455;48;66;24;24;24;66;2017-10-27;0;75;5;2017-10-31;;824;2;2017-10-31
"Exact Online";26110;2190;2190;2017-11-28;241309773.6;100;126;76;108;112;1058;76;276;85655;5294;8005;9.09;-13.7;2.5;10;0.53;10;100056;-903;2017-10-27;17;21314;63;414;69;73;71;333;2017-10-27;1011;30133;683;2017-10-31;;3379;863;2017-10-31
