name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;2836;25;9914;332;-61;-74;1,998;15;4.82;0.2;224.1;0.2;310;-54;2017-09-22;36;179;79;21807;1374;1184;1040;20202;2017-09-22;84;68572;2172;2017-09-26;;41308;7701;2017-09-26
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1327;66;537;68003;-6071;-5079;10.4;5;4.32;10;1.05;10;58018;-8994;2017-09-22;16;60405;59;4037;348;324;278;2818;2017-09-22;0;0;0;2017-09-26;;12186;347;2017-09-26
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;19;3744700;-10428806;-9134636;0.08;500;2;60;0;60;4507862;-12250869;2017-09-22;10;1647985;48;75;26;27;27;52;2017-09-22;;;;;;1768;1;2017-09-26
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;3508;16;287;154179;-21237;-20075;5.2;20;1.7;-1.18;0.2;-1.18;219311;-29019;2017-09-22;15;49361;60;417;106;105;93;369;2017-09-22;251;14660;354;2017-09-26;;8642;1257;2017-09-26
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1281;68;211;89809;-3148;-4222;9.73;3;1.8;-4.21;0.41;-4.21;124616;414;2017-09-22;57;60877;59;281718;1268;1206;1066;246448;2017-09-22;99;4373;43;2017-09-26;;9015;769;2017-09-26
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2175;37;1483;1143;-59;-51;585;1.8;5.64;0.9;76.92;0.9;889;-40;2017-09-22;87;3251;69;718992;29000;19966;13267;317311;2017-09-22;0;12138;69;2017-09-26;;65009;613;2017-09-26
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;768;87;52;436290;109115;132387;0.85;-28.38;11;-21.29;0.22;-21.29;204346;73463;2017-09-22;11;118689;57;85;18;18;18;85;2017-09-22;;;;;;286;2;2017-09-26
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;2370;33;67;175088;21771;21936;3.4;-15.04;3.9;-7.294;0.31;-7.294;155856;25939;2017-09-22;9;1581388;49;82;26;26;26;82;2017-09-22;3;1645;9;2017-09-26;;3940;4576;2017-09-26
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1800;48;416;8484;184;348;94.1;-4.52;5.8;4;12.7;4;6038;15;2017-09-22;42;4015;68;6981;411;273;236;3224;2017-09-22;0;7921;52;2017-09-26;;5155;866;2017-09-26
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;8;8741378;-4806174;-8537219;0.03;200;1;-75;0;-75;11204697;767215;2017-09-22;31;2446741;47;1987;115;92;91;857;2017-09-22;0;0;0;2017-09-26;;;;
CoManage;26107;5;5;2017-11-28;;51;66;40;59;50;657;89;15;456458;-142780;-147078;0.8;30;11;40;0.2;40;217805;-139893;2017-09-22;11;19312966;39;10;4;5;5;10;2017-09-22;;;;;;132;13;2017-09-26
Evoliz;26109;;;;;58;103;56;25;67;818;85;138;160913;20709;12172;3.4;-9.388;5.6;-32.11;0.44;-32.11;117343;37153;2017-09-22;10;1473171;49;67;25;25;25;67;2017-09-22;0;0;0;2017-09-26;;824;2;2017-09-26
