name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;2882;24;9914;358;-40;-49;1,898;11.9;4.86;-2.02;216.7;-2.02;329;-32;2017-08-18;36;181;79;20753;1360;1186;1028;19219;2017-08-18;84;66263;431;2017-08-22;;41308;7701;2017-08-22
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1313;66;537;70500;-1235;-1411;10.1;-0.639;4.32;2;1.03;2;59886;-1887;2017-08-18;16;59150;59;4002;350;326;278;2689;2017-08-18;0;0;0;2017-08-22;;12186;347;2017-08-22
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;19;5959957;-3575605;-2555793;0.04;80;2;60;0;60;6843469;-5343654;2017-08-18;12;1747691;48;102;28;30;30;53;2017-08-18;;;;;;1768;1;2017-08-22
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;3496;16;287;159593;-21090;-19641;5;10;1.7;-1.16;0.2;-1.16;224728;-30280;2017-08-18;12;47814;60;489;107;108;94;411;2017-08-18;246;14564;122;2017-08-22;;8642;1257;2017-08-22
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1191;71;211;90612;12;-347;9.67;-2.31;1.9;-0.532;0.42;-0.532;123363;735;2017-08-18;56;59899;59;287116;1204;1145;1013;251819;2017-08-18;99;4376;12;2017-08-22;;9015;769;2017-08-22
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2184;37;1483;1147;-20;-54;594;1.9;5.62;-2.43;78.3;-2.43;906;15;2017-08-18;87;3201;69;705458;28948;20141;13405;315420;2017-08-18;0;11933;70;2017-08-22;;65009;613;2017-08-22
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;1147;73;52;410300;41193;25861;0.92;-8.672;12;-30.75;0.25;-30.75;188749;54927;2017-08-18;19;114112;57;76;14;14;14;76;2017-08-18;;;;;;286;2;2017-08-22
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;2474;31;67;162306;23845;22839;3.6;-16.79;4.5;-13.01;0.38;-13.01;134050;28801;2017-08-18;8;1682184;48;83;29;28;28;83;2017-08-18;3;1646;11;2017-08-22;;3940;4576;2017-08-22
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1845;46;416;8361;534;743;96.5;-6.953;5.83;0.3;13.2;0.3;5883;343;2017-08-18;42;4071;68;6663;405;276;238;3203;2017-08-18;0;0;0;2017-08-22;;5155;866;2017-08-22
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;8;9351328;5758099;3976528;0.02;-64;1;-75.186;0;-75.186;11914990;9049598;2017-08-18;31;2651805;47;1130;116;93;91;688;2017-08-18;0;0;0;2017-08-22;;;;
