name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;2882;24;9914;360;-40;-49;1,875;11;4.89;-2.98;215.3;-2.98;331;-32;2017-08-12;35;183;79;17913;1348;1193;1031;16431;2017-08-12;84;66159;526;2017-08-15;;41308;7701;2017-08-15
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1313;66;537;71445;-76;-1333;10.1;-0.21;4.18;-4.57;0.99;-4.57;61899;1729;2017-08-12;16;59492;59;3940;351;327;279;2666;2017-08-12;0;0;0;2017-08-15;;12186;347;2017-08-15
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;19;5982053;-3576915;-2564545;0.04;80;2;60;0;60;6864049;-5350337;2017-08-12;13;1808242;48;107;28;30;30;52;2017-08-12;;;;;;1768;1;2017-08-15
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;3496;16;287;158895;-33571;-28719;5;22;1.7;2;0.2;2;221010;-51209;2017-08-12;12;48251;60;473;104;104;92;411;2017-08-12;243;14558;113;2017-08-15;;8642;1257;2017-08-15
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1191;71;211;90726;2803;2420;9.68;-5.523;1.9;0;0.43;0;122907;3740;2017-08-12;56;59549;59;295155;1185;1135;1003;259905;2017-08-12;99;4372;41;2017-08-15;;9015;769;2017-08-15
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2184;37;1483;1145;-10;-48;595;1;5.58;-4.62;77.98;-4.62;909;30;2017-08-12;87;3256;69;697170;28567;20132;13393;309980;2017-08-12;0;11906;78;2017-08-15;;65009;613;2017-08-15
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;1147;73;52;398314;5329;-33246;0.96;5;11;-36.41;0.25;-36.41;186843;48969;2017-08-12;19;114570;57;73;15;15;15;73;2017-08-12;;;;;;286;2;2017-08-15
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;2474;31;67;155488;20988;18226;3.9;-14.28;4.5;-16.17;0.4;-16.17;128852;28220;2017-08-12;8;1654654;48;81;30;29;29;81;2017-08-12;3;1647;10;2017-08-15;;3940;4576;2017-08-15
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1845;46;416;8347;660;809;97.1;-7.166;5.84;-1.35;13.3;-1.35;5866;467;2017-08-12;42;3940;68;6565;398;271;238;3125;2017-08-12;0;0;0;2017-08-15;;5155;866;2017-08-15
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;8;9388122;5787116;4001079;0.02;-64;1;-75.186;0;-75.186;11954622;9079880;2017-08-12;31;2813449;47;1101;110;90;88;671;2017-08-12;0;0;0;2017-08-15;;;;
CoManage;26107;5;5;2017-11-28;;51;66;40;59;50;657;89;15;467270;-467304;-557875;0.84;120;8.4;30;0.17;30;261176;-347129;2017-08-12;13;19508437;39;9;5;7;7;9;2017-08-12;;;;;;132;13;2017-08-15
Evoliz;26109;;;;;58;103;56;25;67;818;85;138;145527;16028;10729;3.7;-9.289;7;-25.56;0.61;-25.56;92659;24876;2017-08-12;11;1430584;49;75;29;28;28;75;2017-08-12;0;0;0;2017-08-15;;824;2;2017-08-15
"Exact Online";26110;2190;2190;2017-11-28;241309773.6;100;126;76;108;112;1219;70;276;83385;4770;5228;10.2;-9.488;2.2;4;0.53;4;104144;3458;2017-08-12;28;21365;63;559;73;77;76;325;2017-08-12;1011;28345;192;2017-08-15;;3379;863;2017-08-15
FattureInCloud;26111;5;5;2017-11-28;;60;13;80;59;60;904;82;58;22724;-5313;-7213;29.4;24;11;0.7;7.58;0.7;10221;-2436;2017-08-12;22;366541;53;136;25;25;25;67;2017-08-12;;;;;;;;
Freshdesk;26115;990;990;2017-11-28;;113;134;105;97;127;2813;25;5454;1932;-530;-731;377;28;5.83;-11.53;51.59;-11.53;1385;-206;2017-08-12;81;911;73;958749;5917;2959;2341;244768;2017-08-12;0;69826;306;2017-08-15;;8970;1331;2017-08-15
Harvest;26116;59;59;2017-11-28;;98;136;94;81;100;1145;73;774;23654;1892;2351;45.4;-11.04;1.84;6;1.96;6;34743;1298;2017-08-12;51;18482;63;5410;650;632;572;2761;2017-08-12;125;42251;29;2017-08-15;;25280;4562;2017-08-15
Highrise;26117;5;5;2017-11-28;;76;78;76;59;92;1549;57;618;19937;-2779;-3920;34.7;15;9.81;-0.809;8;-0.809;9725;-1309;2017-08-12;82;22158;62;51246;3779;3314;2696;25368;2017-08-12;;;;;;1268;190;2017-08-15
Hubspot;26118;2271;2271;2017-11-28;232449040.95;125;158;119;107;134;1783;49;33989;562;-20;-38;1,107;3.4;7.09;-3.93;184.2;-3.93;386;-2;2017-08-12;80;327;76;38110;2982;2403;1907;19260;2017-08-12;6704;1484941;4764;2017-08-15;;75629;26128;2017-08-15
"Ines CRM";26119;45;45;2017-11-28;;62;108;27;80;67;669;91;44;357911;-16798;-48978;1.4;10;3.7;-28.29;0.13;-28.29;325802;42529;2017-08-12;22;2026370;48;1574;74;74;72;1008;2017-08-12;1;125;5;2017-08-15;;5550;521;2017-08-15
Insightly;26120;150;150;2017-11-28;;94;129;86;86;94;1724;51;378;36943;7012;6906;26.9;-22.5;2.03;4;1.28;4;49833;7688;2017-08-12;29;27775;62;2785;500;472;420;2371;2017-08-12;54;34970;103;2017-08-15;;8299;1190;2017-08-15
Julitec;26121;;;;;45;91;12;25;83;811;82;12;1696954;-1263349;-1362321;0.24;100;1.7;-14.71;0.01;-14.71;2104908;-1195164;2017-08-12;12;1231188;49;24;6;6;6;24;2017-08-12;2;230;1;2017-08-15;;136;6;2017-08-15
Moneybird;26123;15;15;2017-11-28;;63;83;47;65;73;456;96;79;173539;54562;59095;3.4;-36.44;4.4;-12.2;0.35;-12.2;144993;52579;2017-08-12;12;282273;54;177;56;56;54;166;2017-08-12;;;;;;5329;573;2017-08-15
Odoo;26124;356;356;2017-11-28;;104;131;88;96;118;2216;36;2256;9984;-131;-58;80.9;1;5.78;0.9;11;0.9;7109;-224;2017-08-12;27;5411;67;1340231;393;348;324;1320934;2017-08-12;0;34437;279;2017-08-15;;3619;550;2017-08-15
"Oro CRM";26125;360;360;2017-11-28;;75;112;44;85;89;3283;19;138;195611;-3342;739;2.9;-4;4.2;10;0.29;10;166418;-13026;2017-08-12;12;212377;55;260;55;60;58;219;2017-08-12;0;737;4;2017-08-15;;1790;454;2017-08-15
Pipedrive;26126;280;280;2017-11-28;;99;131;98;86;95;1306;66;377;3505;-637;-942;186;19;12.1;-3.28;52.88;-3.28;1353;-216;2017-08-12;46;29313;62;24859;438;441;405;12554;2017-08-12;3;39660;881;2017-08-15;;8574;1334;2017-08-15
Podio;26127;9600;9600;2017-11-28;2932358630.25;98;87;95;104;104;1025;77;575;5020;322;338;140;-4.11;10.3;-1.34;33.87;-1.34;2197;95;2017-08-12;83;4240;68;701821;11513;9349;6814;492259;2017-08-12;;;;;;4034;992;2017-08-15
Prosperworks;26128;150;150;2017-11-28;;82;112;72;77;84;3522;16;115;33329;-1007;-1466;20.9;3;7.72;-2.65;3.79;-2.65;19443;-196;2017-08-12;13;195117;55;173;57;61;60;156;2017-08-12;133;1906;50;2017-08-15;;1165;516;2017-08-15
salesforce;26131;25000;25000;2017-11-28;7199063474.4;139;153;141;128;140;1448;61;10150;126;-8;-17;3,895;6.9;19.79;-5.896;1,809;-5.896;47;4;2017-08-12;41;635;74;157773;12169;10478;5279;151841;2017-08-12;5168;660286;2202;2017-08-15;;50981;7484;2017-08-15
