name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;2836;25;9914;333;-67;-84;1,993;15.7;4.82;0;224.3;0;313;-56;2017-09-15;36;180;79;22652;1368;1193;1044;21073;2017-09-15;84;67594;1058;2017-09-19;;41308;7701;2017-09-19
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1327;66;537;67924;-5415;-4576;10.4;4;4.4;10;1.07;10;57152;-8560;2017-09-15;16;59907;59;3956;349;325;278;2736;2017-09-15;0;0;0;2017-09-19;;12186;347;2017-09-19
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;19;3745436;-7599236;-6484017;0.08;300;2;60;0;60;4510024;-9592778;2017-09-15;11;1658190;48;76;26;28;28;52;2017-09-15;;;;;;1768;1;2017-09-19
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;3508;16;287;152856;-23463;-23150;5.2;18;1.7;-2.92;0.2;-2.92;218218;-30322;2017-09-15;15;49435;60;418;106;106;93;370;2017-09-15;250;14632;176;2017-09-19;;8642;1257;2017-09-19
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1281;68;211;90122;-1939;-3262;9.72;2;1.8;-4.21;0.41;-4.21;124952;1857;2017-09-15;57;60841;59;285209;1255;1195;1059;249869;2017-09-15;99;4377;7;2017-09-19;;9015;769;2017-09-19
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2175;37;1483;1148;-56;-74;587;2.3;5.64;0.2;77.26;0.2;886;-45;2017-09-15;87;3247;69;712981;29025;20038;13324;317355;2017-09-15;0;12107;94;2017-09-19;;65009;613;2017-09-19
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;768;87;52;445208;123133;153955;0.82;-32.14;11;-18.96;0.22;-18.96;206520;76573;2017-09-15;11;119498;57;86;17;17;17;86;2017-09-15;;;;;;286;2;2017-09-19
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;2370;33;67;177496;29612;31698;3.3;-20.53;4.1;-5.923;0.32;-5.923;153634;30462;2017-09-15;9;1595588;49;86;28;27;27;86;2017-09-15;3;1644;8;2017-09-19;;3940;4576;2017-09-19
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1800;48;416;8503;308;481;94.3;-5.617;5.77;3;12.7;3;6043;78;2017-09-15;42;3855;68;6922;409;272;238;3195;2017-09-15;0;7921;52;2017-09-19;;5155;866;2017-09-19
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;8;8742864;1221707;-1267464;0.03;30;1;-76.69;0;-76.69;11202550;5600565;2017-09-15;32;2401266;47;2137;116;94;93;861;2017-09-15;0;0;0;2017-09-19;;;;
CoManage;26107;5;5;2017-11-28;;51;66;40;59;50;657;89;15;439369;-244614;-265828;0.84;60;11;60;0.21;60;210655;-219182;2017-09-15;10;19648820;38;7;4;4;4;7;2017-09-15;;;;;;132;13;2017-09-19
Evoliz;26109;;;;;58;103;56;25;67;818;85;138;157793;22395;16064;3.5;-11.89;5.8;-29.64;0.48;-29.64;111711;34886;2017-09-15;11;1451268;49;71;27;25;25;71;2017-09-15;0;0;0;2017-09-19;;824;2;2017-09-19
"Exact Online";26110;2190;2190;2017-11-28;241309773.6;100;126;76;108;112;1439;61;276;87748;9723;10314;9.22;-16.65;2.4;6;0.51;6;106347;9376;2017-09-15;21;21550;63;446;71;73;72;327;2017-09-15;1011;28753;262;2017-09-19;;3379;863;2017-09-19
FattureInCloud;26111;5;5;2017-11-28;;60;13;80;59;60;870;84;58;22833;-4504;-6420;29;20;10.9;0.8;7.37;0.8;10397;-2098;2017-09-15;21;457650;53;120;23;22;22;61;2017-09-15;;;;;;;;
Freshdesk;26115;990;990;2017-11-28;;113;134;105;97;127;2756;26;5454;1823;-515;-653;395;25;5.69;-6.721;52.45;-6.721;1349;-250;2017-09-15;81;920;73;972532;6034;2987;2373;248799;2017-09-15;0;70118;112;2017-09-19;;8970;1331;2017-09-19
Harvest;26116;59;59;2017-11-28;;98;136;94;81;100;952;80;774;24529;-493;-327;43;0.3;1.86;0.5;1.86;0.5;35652;-838;2017-09-15;51;17227;63;5396;655;636;573;2770;2017-09-15;124;42197;47;2017-09-19;;25280;4562;2017-09-19
Highrise;26117;5;5;2017-11-28;;76;78;76;59;92;1703;52;618;19694;-1838;-2584;34.8;8.6;9.84;2;7.99;2;9641;-958;2017-09-15;82;22957;62;36970;3839;3316;2692;18170;2017-09-15;;;;;;1268;190;2017-09-19
Hubspot;26118;2271;2271;2017-11-28;232449040.95;125;158;119;107;134;1703;52;33989;565;-21;-50;1,094;3.3;7.33;4.4;187.1;4.4;360;-45;2017-09-15;80;327;77;39692;3066;2411;1906;19970;2017-09-15;6832;1504520;9797;2017-09-19;;75629;26128;2017-09-19
"Ines CRM";26119;45;45;2017-11-28;;62;108;27;80;67;669;91;44;457118;105443;60700;1.1;-17.24;3;-45.62;0.08;-45.62;462024;209859;2017-09-15;21;2109627;48;1582;70;69;68;1016;2017-09-15;1;125;2;2017-09-19;;5550;521;2017-09-19
Insightly;26120;150;150;2017-11-28;;94;129;86;86;94;1361;64;378;36255;1712;2095;27;-8.835;2.05;6;1.29;6;48839;793;2017-09-15;29;26767;62;2789;486;459;408;2386;2017-09-15;54;35054;61;2017-09-19;;8299;1190;2017-09-19
Julitec;26121;;;;;45;91;12;25;83;811;82;12;1523784;-873928;-641860;0.24;50;2.9;70;0.02;70;1503875;-1433256;2017-09-15;12;1408543;49;28;6;6;6;28;2017-09-15;2;229;0;2017-09-19;;136;6;2017-09-19
Moneybird;26123;15;15;2017-11-28;;63;83;47;65;73;587;93;79;202649;76342;74253;2.9;-40.33;3.6;-28.4;0.25;-28.4;188364;91509;2017-09-15;12;282183;54;182;55;54;52;171;2017-09-15;;;;;;5329;573;2017-09-19
Odoo;26124;356;356;2017-11-28;;104;131;88;96;118;2510;30;2256;9930;-656;-472;79.2;3;6.13;8.9;11.3;8.9;6773;-963;2017-09-15;28;5305;67;1326384;400;359;339;1306726;2017-09-15;0;34789;314;2017-09-19;;3619;550;2017-09-19
"Oro CRM";26125;360;360;2017-11-28;;75;112;44;85;89;3017;22;138;197477;-13494;-19822;2.9;8;4.1;-6.772;0.28;-6.772;170364;-3240;2017-09-15;12;208402;55;277;55;58;57;231;2017-09-15;0;740;5;2017-09-19;;1790;454;2017-09-19
