name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;3018;22;9445;377;-19;-36;1,816;7.8;4.89;-6.322;208.7;-6.322;337;-12;2017-07-28;85;182;79;24932807;42492;29457;18735;11932040;2017-07-28;84;65810;439;2017-08-01;;41212;7653;2017-08-01
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1426;61;526;72275;2199;-1055;10.2;1;4;-14.86;0.96;-14.86;64144;7881;2017-07-28;78;59393;59;22928;2114;1887;1591;17596;2017-07-28;0;0;0;2017-08-01;;12175;344;2017-08-01
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;20;5959411;-2960082;-1998927;0.04;60;2;60;0;60;6828081;-4676624;2017-07-28;34;1772944;48;2246;190;170;165;1370;2017-07-28;;;;;;1768;1;2017-08-01
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;1837;46;273;164598;-31578;-27068;4.8;21;1.8;1;0.2;1;227946;-46249;2017-07-28;53;49070;60;15245;1073;1038;883;10063;2017-07-28;241;14523;87;2017-08-01;;8602;1247;2017-08-01
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1464;60;208;92794;8675;7499;9.48;-10.3;1.9;-2.05;0.43;-2.05;124500;11793;2017-07-28;56;60717;59;293520;1171;1130;997;261286;2017-07-28;99;4370;33;2017-08-01;;8999;768;2017-08-01
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2181;37;1448;1156;53;43;591;-1.77;5.57;-7.934;77.34;-7.934;921;99;2017-07-28;87;3301;69;481016;27629;19943;13297;300658;2017-07-28;0;11805;73;2017-08-01;;64921;604;2017-08-01
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;1053;76;53;391665;-18892;-69256;0.99;10;11;-36.04;0.26;-36.04;182553;38689;2017-07-28;34;105748;57;4893;845;125;115;4138;2017-07-28;;;;;;286;2;2017-08-01
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;2392;32;67;149447;19788;12622;4.1;-9.838;4.4;-25.84;0.42;-25.84;124992;34267;2017-07-28;38;1661838;48;4083;267;259;231;2431;2017-07-28;3;1646;6;2017-08-01;;3933;4576;2017-08-01
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1842;46;387;8305;961;1025;98.5;-7.521;5.78;-6.321;13.4;-6.321;5878;872;2017-07-28;81;4122;68;6620525;3609;3006;2281;6533876;2017-07-28;0;0;0;2017-08-01;;5150;862;2017-08-01
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;8;9346546;6035737;4407565;0.02;-68.966;1;-72.222;0;-72.222;11915625;9107764;2017-07-28;31;2778022;47;1031;104;88;86;613;2017-07-28;0;0;0;2017-08-01;;;;
CoManage;26107;5;5;2017-11-28;;51;66;40;59;50;657;89;13;466096;-503136;-622691;0.86;140;8;20;0.16;20;267769;-338746;2017-07-28;13;19180508;39;12;7;6;6;12;2017-07-28;;;;;;132;13;2017-08-01
Evoliz;26109;;;;;58;103;56;25;67;687;90;129;148136;27834;25880;3.6;-17.39;7.4;-27.12;0.63;-27.12;90735;31560;2017-07-28;39;1385724;49;3294;279;250;217;2218;2017-07-28;0;0;0;2017-08-01;;823;2;2017-08-01
"Exact Online";26110;2190;2190;2017-11-28;241309773.6;100;126;76;108;112;1154;72;264;80010;2985;2487;10.8;-3.87;2.2;-0.901;0.56;-0.901;100376;3578;2017-07-28;50;21214;63;274909;3407;2827;2198;186550;2017-07-28;1012;28099;267;2017-08-01;;3373;859;2017-08-01
FattureInCloud;26111;5;5;2017-11-28;;60;13;80;59;60;888;83;57;23831;-2901;-3913;28.1;14;11;2;7.28;2;10703;-1402;2017-07-28;38;361189;53;21410;261;256;212;21360;2017-07-28;;;;;;;;
Freshdesk;26115;990;990;2017-11-28;;113;134;105;97;127;2737;26;5342;2014;-403;-566;364;23;5.9;-11.41;50.41;-11.41;1434;-113;2017-07-28;81;917;73;479256;5758;2857;2275;241756;2017-07-28;0;69665;286;2017-08-01;;8964;1331;2017-08-01
Harvest;26116;59;59;2017-11-28;;98;136;94;81;100;1058;76;738;23701;4837;5092;45.9;-22.86;1.82;10;1.96;10;35026;4905;2017-07-28;50;18375;63;2548;557;555;501;2423;2017-07-28;124;42259;174;2017-08-01;;25259;4562;2017-08-01
Highrise;26117;5;5;2017-11-28;;76;78;76;59;92;1661;53;597;20534;-2577;-3771;34;16;9.81;-1.7;7.83;-1.7;9983;-1171;2017-07-28;82;21756;63;32517;3677;3263;2665;29863;2017-07-28;;;;;;1259;188;2017-08-01
Hubspot;26118;2271;2271;2017-11-28;232449040.95;125;158;119;107;134;1900;45;33488;573;3;-24;1,096;1.7;6.94;-9.043;178.7;-9.043;392;19;2017-07-28;86;333;76;435920;31203;21403;13449;324984;2017-07-28;6680;1476630;5870;2017-08-01;;75578;26108;2017-08-01
"Ines CRM";26119;45;45;2017-11-28;;62;108;27;80;67;669;91;43;355736;-4373;-18534;1.4;4;4.1;-14.5;0.14;-14.5;306611;21140;2017-07-28;28;1888234;48;1329;89;84;79;970;2017-07-28;1;125;4;2017-08-01;;5512;521;2017-08-01
Insightly;26120;150;150;2017-11-28;;94;129;86;86;94;1613;54;368;37024;8746;8270;27.3;-25.11;2;3;1.28;3;50273;10363;2017-07-28;81;28170;62;103979;3090;2774;2234;68010;2017-07-28;54;34926;119;2017-08-01;;8273;1186;2017-08-01
Julitec;26121;;;;;45;91;12;25;83;811;82;12;1809369;-779800;-797284;0.23;60;1.7;-6.593;0.01;-6.593;2255501;-802335;2017-07-28;35;1190221;49;831;163;152;131;793;2017-07-28;2;229;0;2017-08-01;;136;6;2017-08-01
Moneybird;26123;15;15;2017-11-28;;63;83;47;65;73;535;94;80;161846;43903;51893;3.6;-32.79;4.9;0.8;0.42;0.8;126507;33449;2017-07-28;45;297449;54;4187;503;494;412;2710;2017-07-28;;;;;;5319;572;2017-08-01
Odoo;26124;356;356;2017-11-28;;104;131;88;96;118;2048;40;2178;10268;592;909;78.9;-4.5;5.82;3;10.8;3;7292;227;2017-07-28;83;5474;67;79533619;8564;7419;5984;5569830;2017-07-28;0;34335;307;2017-08-01;;3603;546;2017-08-01
"Oro CRM";26125;360;360;2017-11-28;;75;112;44;85;89;3093;21;138;209819;20691;26623;2.8;-15.77;3.9;7;0.25;7;187185;11893;2017-07-28;47;233329;55;4679;550;559;520;3429;2017-07-28;0;738;8;2017-08-01;;1783;451;2017-08-01
