name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;2836;25;9914;335;-56;-71;1,999;14.7;4.81;0;223.6;0;311;-48;2017-09-27;36;178;79;22134;1373;1188;1039;20528;2017-09-29;84;69093;1200;2017-10-03;;41308;7701;2017-10-03
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1327;66;537;67438;-5952;-5563;10.6;6;4.2;8;1.04;8;58405;-7797;2017-09-29;16;60765;59;4105;345;322;276;2889;2017-09-29;0;0;0;2017-10-03;;12186;347;2017-10-03
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;19;3616675;-7638267;-6405248;0.08;300;2;80;0;80;4114956;-9850488;2017-09-27;10;1651397;48;74;26;27;27;52;2017-09-29;;;;;;1768;1;2017-10-03
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;3508;16;287;157190;-15321;-15498;5.1;10;1.6;-2.94;0.2;-2.94;224737;-18565;2017-09-27;15;48522;60;406;105;105;96;357;2017-09-29;251;14660;168;2017-10-03;;8642;1257;2017-10-03
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1281;68;211;90190;-3488;-4490;9.68;4;1.8;-4.23;0.41;-4.23;125632;-27;2017-09-27;57;63611;59;280141;1280;1212;1067;244968;2017-09-29;102;4379;22;2017-10-03;;9015;769;2017-10-03
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2175;37;1483;1158;-38;-42;582;1;5.63;1;76.19;1;894;-37;2017-09-27;87;3305;69;676548;28828;19878;13215;307391;2017-09-29;0;12155;77;2017-10-03;;65009;613;2017-10-03
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;768;87;52;428091;85877;108258;0.85;-23.86;12;-13.72;0.24;-13.72;192536;53014;2017-09-27;11;111321;57;84;18;18;18;84;2017-09-29;;;;;;286;2;2017-10-03
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;2370;33;67;177279;23913;24633;3.3;-16.51;3.9;-6.731;0.3;-6.731;159042;27485;2017-09-29;22;1567433;49;83;26;26;26;83;2017-09-29;3;1647;5;2017-10-03;;3940;4576;2017-10-03
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1800;48;416;8448;57;135;94.4;-2.83;5.75;2;12.6;2;6063;32;2017-09-27;42;4161;68;6848;406;269;234;3173;2017-09-29;0;7921;52;2017-10-03;;5155;866;2017-10-03
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;8;8742935;-4782867;-8504833;0.03;200;1;-75;0;-75;11211967;798303;2017-09-27;31;2443221;47;1778;115;93;92;855;2017-09-29;0;0;0;2017-10-03;;;;
