name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;2882;24;9914;339;-62;-76;1,969;15.1;4.83;-0.617;222.4;-0.617;314;-53;2017-09-01;35;180;79;20820;1356;1175;1027;19211;2017-09-01;84;66785;872;2017-09-05;;41308;7701;2017-09-05
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1313;66;537;67720;-5119;-6135;10.6;6;4.28;1;1.06;1;57914;-4696;2017-09-01;16;58040;59;3882;342;321;276;2659;2017-09-01;0;0;0;2017-09-05;;12186;347;2017-09-05
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;19;5450935;-4222259;-3186011;0.05;100;2;70;0;70;6151738;-6200157;2017-09-01;11;1634980;49;94;27;29;29;53;2017-09-01;;;;;;1768;1;2017-09-05
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;3496;16;287;157503;-18836;-19125;5.1;10;1.6;-3.51;0.2;-3.51;225665;-23076;2017-09-01;15;48125;60;480;109;104;93;402;2017-09-01;247;14597;138;2017-09-05;;8642;1257;2017-09-05
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1191;71;211;90549;-2470;-3716;9.73;2;1.8;-3.7;0.41;-3.7;125080;136;2017-09-01;57;63931;59;291148;1234;1177;1043;255803;2017-09-01;99;4377;22;2017-09-05;;9015;769;2017-09-05
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2184;37;1483;1136;-52;-99;595;3.2;5.66;0.2;78.75;0.2;877;-55;2017-09-01;87;3299;69;703293;28946;20054;13321;316459;2017-09-01;0;11998;52;2017-09-05;;65009;613;2017-09-05
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;1147;73;52;428093;88338;98080;0.86;-22.38;12;-26.58;0.24;-26.58;195789;68859;2017-09-01;11;117797;57;83;15;15;15;83;2017-09-01;;;;;;286;2;2017-09-05
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;2474;31;67;167719;27023;30592;3.5;-20.67;4.5;-3;0.37;-3;137708;24388;2017-09-01;8;1675056;48;85;28;27;27;85;2017-09-01;3;1645;5;2017-09-05;;3940;4576;2017-09-05
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1845;46;416;8496;562;763;94.8;-8.187;5.85;4;13;4;5943;212;2017-09-01;42;4009;68;6761;410;272;239;3171;2017-09-01;0;7908;58;2017-09-05;;5155;866;2017-09-05
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;8;8744597;2555129;441175;0.03;-16.67;1;-72.222;0;-72.222;11218341;6182691;2017-09-01;31;2475335;47;1449;115;92;89;745;2017-09-01;0;0;0;2017-09-05;;;;
