name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;2882;24;9914;347;-53;-62;1,925;12.8;4.85;-1.02;219;-1.02;324;-43;2017-08-25;35;180;79;20756;1352;1169;1015;19216;2017-08-25;84;66428;375;2017-08-29;;41308;7701;2017-08-29
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1313;66;537;68452;-3741;-3698;10.4;2;4.45;7;1.08;7;57076;-5610;2017-08-25;16;58145;59;3989;345;321;274;2672;2017-08-25;0;0;0;2017-08-29;;12186;347;2017-08-29
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;19;5945519;-3534752;-2513652;0.04;80;2;60;0;60;6835133;-5289218;2017-08-27;12;1603092;49;96;28;30;30;54;2017-08-27;;;;;;1768;1;2017-08-29
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;3496;16;287;159020;-17698;-17632;5;10;1.7;-2.92;0.2;-2.92;226567;-23001;2017-08-27;15;47800;60;473;108;105;93;395;2017-08-27;247;14587;124;2017-08-29;;8642;1257;2017-08-29
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1191;71;211;92430;1256;343;9.45;-3.57;1.9;-1.07;0.41;-1.07;126367;2931;2017-08-25;56;59795;59;293643;1212;1152;1017;258311;2017-08-25;99;4378;10;2017-08-29;;9015;769;2017-08-29
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2184;37;1483;1172;5;-45;586;0.6;5.63;-0.88;77.32;-0.88;911;3;2017-08-27;87;3284;69;703635;28937;20026;13331;316137;2017-08-27;0;11978;100;2017-08-29;;65009;613;2017-08-29
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;1147;73;52;434374;90006;100780;0.85;-22.77;12;-25.85;0.23;-25.85;196616;68450;2017-08-25;11;121183;57;82;15;15;15;82;2017-08-25;;;;;;286;2;2017-08-29
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;2474;31;67;166222;25178;26769;3.5;-18.71;4.5;-7.629;0.37;-7.629;137342;26522;2017-08-25;8;1697094;48;85;28;27;27;85;2017-08-25;3;1644;6;2017-08-29;;3940;4576;2017-08-29
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1845;46;416;8543;652;846;94.6;-8.68;5.81;2;12.9;2;6001;326;2017-08-27;42;4026;68;6784;406;275;240;3221;2017-08-27;0;0;0;2017-08-29;;5155;866;2017-08-29
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;8;8729960;4054549;2045373;0.03;-41.18;1;-76.581;0;-76.581;11203929;7640969;2017-08-27;31;2493887;47;1278;117;94;91;715;2017-08-27;0;0;0;2017-08-29;;;;
CoManage;26107;5;5;2017-11-28;;51;66;40;59;50;657;89;15;460415;-422371;-497446;0.83;110;8.9;40;0.18;40;247995;-323237;2017-08-25;12;19312769;39;9;4;6;6;9;2017-08-25;;;;;;132;13;2017-08-29
Evoliz;26109;;;;;58;103;56;25;67;818;85;138;155804;28309;28548;3.4;-19.41;6.8;-20.95;0.55;-20.95;100431;29844;2017-08-25;11;1434547;49;73;28;27;27;73;2017-08-25;0;0;0;2017-08-29;;824;2;2017-08-29
"Exact Online";26110;2190;2190;2017-11-28;241309773.6;100;126;76;108;112;1219;70;276;86551;7326;7604;9.56;-13.29;2.3;5;0.51;5;106851;6616;2017-08-27;25;21169;63;504;72;77;76;327;2017-08-27;1011;28450;169;2017-08-29;;3379;863;2017-08-29
FattureInCloud;26111;5;5;2017-11-28;;60;13;80;59;60;904;82;58;23485;-4494;-5902;28.2;18;11;2;7.24;2;10652;-2130;2017-08-25;22;380036;53;143;25;25;25;72;2017-08-25;;;;;;;;
Freshdesk;26115;990;990;2017-11-28;;113;134;105;97;127;2813;25;5454;1888;-522;-711;385;26;5.76;-9.291;52.02;-9.291;1383;-222;2017-08-27;81;908;73;969433;5941;2949;2346;247108;2017-08-27;0;70041;329;2017-08-29;;8970;1331;2017-08-29
Harvest;26116;59;59;2017-11-28;;98;136;94;81;100;1145;73;774;24075;-923;-596;44;2;1.86;1;1.92;1;35132;-1493;2017-08-27;51;18350;63;5399;650;631;570;2759;2017-08-27;124;42224;28;2017-08-29;;25280;4562;2017-08-29
